date;opening;min;max;closing;volatility
2025-03-20;235.86;230.19;237.56;235.81;1.48154
2025-03-21;236.26;236.26;249.02;249.02;2.87588
2025-03-24;248.71;248.71;278.33;278.19;3.32120
2025-03-25;278.39;271.70;288.17;288.11;3.23785
2025-03-26;287.99;266.69;287.99;272.15;3.98515
2025-03-27;272.06;272.06;291.36;272.71;4.46352
2025-03-28;273.13;261.10;275.35;263.40;2.86701
2025-03-31;263.55;244.06;263.55;258.95;4.26160
2025-04-01;259.16;259.16;277.24;268.45;4.01185
2025-04-02;268.46;251.87;284.71;283.04;8.80111
2025-04-03;282.76;261.69;282.76;267.19;2.51241
2025-04-04;267.28;236.22;267.28;238.85;3.87532
2025-04-07;239.43;215.06;249.81;233.88;4.37054
2025-04-08;233.29;218.29;249.64;218.35;8.94744
2025-04-09;221.86;221.86;273.58;272.57;15.66562
2025-04-10;272.20;239.61;272.20;252.19;4.80355
2025-04-11;252.40;241.70;257.40;252.09;2.84254
2025-04-14;252.24;246.17;260.76;252.10;3.58401
2025-04-15;252.35;247.96;258.57;253.95;1.75845
2025-04-16;254.11;234.13;254.11;241.58;4.99647
2025-04-17;241.55;237.98;243.89;241.42;.99181
2025-04-21;241.38;222.92;241.38;226.98;1.60663
2025-04-22;227.42;227.42;242.76;238.05;2.22276
2025-04-23;237.97;237.97;259.24;251.17;3.33773
2025-04-24;250.74;249.47;259.30;259.30;1.43907
2025-04-25;259.51;259.51;286.75;285.00;7.03173
2025-04-28;284.95;272.50;294.61;286.10;4.81994
